team_id,team_name,conference,player1,player2
2,Punchshot/GC3,Americas,Punchshot,GC3
3,FUT1235/healy,Americas,FUT1235,healy
4,DaiLafin/micmac,EU,DaiLafin,micmac
5,Jtobin/Iselus,Americas,Jtobin,Iselus
6,Stikky/Pretty,Americas,Stikky,Pretty
7,Big Mike/Zilla,Americas,Big Mike,Zilla
8,Wheelman/Versquatchy,Americas,Wheelman,Versquatchy
9,Exposed/TTownAlabama,Americas,Exposed,TTownAlabama
10,Orangeman/Laffy,Americas,Orangeman,Laffy
11,Quirkey/BulletprfVest,EU,Quirkey,BulletprfVest
12,Bethany/Mooksi,Americas,Bethany,Mooksi
13,Sirsmokesalot/GRIM,Americas,Sirsmokesalot,GRIM
