player_id,player_name,event_id,event_date,score,rank,points,event_pr,season,tier
1,GC3,Pre-Season - Event 1,05/31/2025,-21,1,25,1038,0,1Premier
2,Punchshot,Pre-Season - Event 1,05/31/2025,-18,2,18,1008,0,1Premier
3,Skoljets,Pre-Season - Event 1,05/31/2025,-16,3,15,988,0,1Premier
4,Pretty,Pre-Season - Event 1,05/31/2025,-16,3,15,988,0,1Premier
5,Big Mike,Pre-Season - Event 1,05/31/2025,-14,5,10,968,0,1Premier
6,Dailafin,Pre-Season - Event 1,05/31/2025,-13,6,8,958,0,1Premier
7,Orangeman,Pre-Season - Event 1,05/31/2025,-9,7,6,918,0,1Premier
8,Quirkey,Pre-Season - Event 1,05/31/2025,-4,8,4,868,0,1Premier
9,Wakenbake,Pre-Season - Event 1,05/31/2025,-4,8,4,868,0,1Premier
10,Mighty,Pre-Season - Event 1,05/31/2025,3,10,1,798,0,1Premier
11,bigwhit,Pre-Season - Event 1,05/31/2025,5,11,0,778,0,1Premier
12,jtobin,Pre-Season - Event 1,05/31/2025,6,12,0,768,0,1Premier
13,Stikky,Pre-Season - Event 1,05/31/2025,7,13,0,758,0,1Premier
2,Punchshot,Pre-Season - Event 2,06/03/2025,-39,1,25,1052,0,1Premier
21,Iselus,Pre-Season - Event 2,06/03/2025,-38,2,18,1042,0,1Premier
14,FUT1235,Pre-Season - Event 2,06/03/2025,-32,3,15,982,0,1Premier
1,GC3,Pre-Season - Event 2,06/03/2025,-31,4,12,972,0,1Premier
4,Pretty,Pre-Season - Event 2,06/03/2025,-30,5,10,962,0,1Premier
15,healy,Pre-Season - Event 2,06/03/2025,-30,5,10,962,0,1Premier
22,OXI,Pre-Season - Event 2,06/03/2025,-29,7,6,952,0,1Premier
5,Big Mike,Pre-Season - Event 2,06/03/2025,-25,8,4,912,0,1Premier
16,FLUID,Pre-Season - Event 2,06/03/2025,-24,9,2,902,0,1Premier
3,Skoljets,Pre-Season - Event 2,06/03/2025,-23,10,1,892,0,1Premier
8,Quirkey,Pre-Season - Event 2,06/03/2025,-22,11,0,882,0,1Premier
17,Murfster,Pre-Season - Event 2,06/03/2025,-22,11,0,882,0,1Premier
7,Orangeman,Pre-Season - Event 2,06/03/2025,-21,13,0,872,0,1Premier
6,Dailafin,Pre-Season - Event 2,06/03/2025,-20,14,0,862,0,1Premier
13,Stikky,Pre-Season - Event 2,06/03/2025,-20,14,0,862,0,1Premier
18,TTownAlabama,Pre-Season - Event 2,06/03/2025,-20,14,0,862,0,1Premier
23,micmac,Pre-Season - Event 2,06/03/2025,-19,17,0,852,0,1Premier
9,Wakenbake,Pre-Season - Event 2,06/03/2025,-18,18,0,842,0,1Premier
11,bigwhit,Pre-Season - Event 2,06/03/2025,-17,19,0,832,0,1Premier
20,Exposed,Pre-Season - Event 2,06/03/2025,-15,20,0,812,0,1Premier
24,sirsmokesalot,Pre-Season - Event 2,06/03/2025,-4,21,0,702,0,1Premier
2,Punchshot,Pre-Season - Event 3,06/06/2025,-18,1,25,1052,0,1Premier
1,GC3,Pre-Season - Event 3,06/06/2025,-12,2,18,992,0,1Premier
4,Pretty,Pre-Season - Event 3,06/06/2025,-5,7,6,922,0,1Premier
3,Skoljets,Pre-Season - Event 3,06/06/2025,-6,5,10,932,0,1Premier
22,OXI,Pre-Season - Event 3,06/06/2025,-9,3,15,962,0,1Premier
5,Big Mike,Pre-Season - Event 3,06/06/2025,-5,7,6,922,0,1Premier
14,FUT1235,Pre-Season - Event 3,06/06/2025,-4,10,1,912,0,1Premier
7,Orangeman,Pre-Season - Event 3,06/06/2025,-6,5,10,932,0,1Premier
26,danielrailling,Pre-Season - Event 3,06/06/2025,-9,3,15,962,0,1Premier
15,healy,Pre-Season - Event 3,06/06/2025,-4,10,1,912,0,1Premier
6,Dailafin,Pre-Season - Event 3,06/06/2025,5,19,0,822,0,1Premier
25,Wheelman,Pre-Season - Event 3,06/06/2025,-5,7,6,922,0,1Premier
8,Quirkey,Pre-Season - Event 3,06/06/2025,-1,14,0,882,0,1Premier
16,FLUID,Pre-Season - Event 3,06/06/2025,-4,10,1,912,0,1Premier
10,Mighty,Pre-Season - Event 3,06/06/2025,3,17,0,842,0,1Premier
17,Murfster,Pre-Season - Event 3,06/06/2025,-2,13,0,892,0,1Premier
19,Diallur,Pre-Season - Event 3,06/06/2025,-1,14,0,882,0,1Premier
18,TTownAlabama,Pre-Season - Event 3,06/06/2025,-1,14,0,882,0,1Premier
11,bigwhit,Pre-Season - Event 3,06/06/2025,4,18,0,832,0,1Premier
20,Exposed,Pre-Season - Event 3,06/06/2025,6,20,0,812,0,1Premier
13,Stikky,Pre-Season - Event 3,06/06/2025,16,21,0,712,0,1Premier
2,Punchshot,Season 1 - Event 1,06/09/2025,-30,1,25,1059,1,1Premier
22,OXI,Season 1 - Event 1,06/09/2025,-23,2,18,989,1,1Premier
4,Pretty,Season 1 - Event 1,06/09/2025,-22,3,15,979,1,1Premier
21,Iselus,Season 1 - Event 1,06/09/2025,-22,3,15,979,1,1Premier
1,GC3,Season 1 - Event 1,06/09/2025,-21,5,10,969,1,1Premier
3,Skoljets,Season 1 - Event 1,06/09/2025,-20,6,8,959,1,1Premier
5,Big Mike,Season 1 - Event 1,06/09/2025,-20,6,8,959,1,1Premier
15,healy,Season 1 - Event 1,06/09/2025,-15,8,4,909,1,1Premier
25,Wheelman,Season 1 - Event 1,06/09/2025,-15,8,4,909,1,1Premier
14,FUT1235,Season 1 - Event 1,06/09/2025,-14,10,1,899,1,1Premier
16,FLUID,Season 1 - Event 1,06/09/2025,-11,11,0,869,1,1Premier
6,Dailafin,Season 1 - Event 1,06/09/2025,-10,12,0,859,1,1Premier
7,Orangeman,Season 1 - Event 1,06/09/2025,-3,13,0,789,1,1Premier
8,Quirkey,Season 1 - Event 1,06/09/2025,-1,14,0,769,1,1Premier
10,Mighty,Season 1 - Event 1,06/09/2025,-25,1,25,1009,1,2Championship
17,Murfster,Season 1 - Event 1,06/09/2025,-21,2,18,969,1,2Championship
23,micmac,Season 1 - Event 1,06/09/2025,-16,3,15,919,1,2Championship
18,TTownAlabama,Season 1 - Event 1,06/09/2025,-15,4,12,909,1,2Championship
20,Exposed,Season 1 - Event 1,06/09/2025,-9,5,10,848,1,2Championship
12,jtobin,Season 1 - Event 1,06/09/2025,4,6,8,718,1,2Championship
3,Skoljets,Season 1 - Event 2,06/12/2025,-18,1,25,1061,1,1Premier
2,Punchshot,Season 1 - Event 2,06/12/2025,-16,2,18,1041,1,1Premier
4,Pretty,Season 1 - Event 2,06/12/2025,-14,3,15,1021,1,1Premier
14,FUT1235,Season 1 - Event 2,06/12/2025,-13,4,12,1011,1,1Premier
6,Dailafin,Season 1 - Event 2,06/12/2025,-13,4,12,1011,1,1Premier
22,OXI,Season 1 - Event 2,06/12/2025,-8,6,8,961,1,1Premier
5,Big Mike,Season 1 - Event 2,06/12/2025,-8,6,8,961,1,1Premier
8,Quirkey,Season 1 - Event 2,06/12/2025,-8,6,8,961,1,1Premier
1,GC3,Season 1 - Event 2,06/12/2025,-5,9,2,931,1,1Premier
7,Orangeman,Season 1 - Event 2,06/12/2025,0,10,1,880,1,1Premier
16,FLUID,Season 1 - Event 2,06/12/2025,7,11,0,810,1,1Premier
28,Laffy,Season 1 - Event 2,06/12/2025,-18,1,25,1061,1,2Championship
29,Jox,Season 1 - Event 2,06/12/2025,-3,2,18,911,1,2Championship
17,Murfster,Season 1 - Event 2,06/12/2025,-2,3,15,900,1,2Championship
30,MattyIce,Season 1 - Event 2,06/12/2025,-2,3,15,900,1,2Championship
10,Mighty,Season 1 - Event 2,06/12/2025,3,5,10,850,1,2Championship
20,Exposed,Season 1 - Event 2,06/12/2025,4,6,8,840,1,2Championship
11,bigwhit,Season 1 - Event 2,06/12/2025,13,7,6,750,1,2Championship
31,StonyQueso,Season 1 - Event 2,06/12/2025,15,8,4,730,1,2Championship
13,Stikky,Season 1 - Event 2,06/12/2025,35,9,2,530,1,2Championship
4,Pretty,Season 1 - Event 3,06/15/2025,-35,1,25,1012,1,1Premier
2,Punchshot,Season 1 - Event 3,06/15/2025,-34,2,18,1002,1,1Premier
22,OXI,Season 1 - Event 3,06/15/2025,-33,3,15,992,1,1Premier
3,Skoljets,Season 1 - Event 3,06/15/2025,-32,4,12,982,1,1Premier
1,GC3,Season 1 - Event 3,06/15/2025,-31,5,10,972,1,1Premier
25,Wheelman,Season 1 - Event 3,06/15/2025,-30,6,8,962,1,1Premier
5,Big Mike,Season 1 - Event 3,06/15/2025,-28,7,6,942,1,1Premier
21,Iselus,Season 1 - Event 3,06/15/2025,-28,7,6,942,1,1Premier
7,Orangeman,Season 1 - Event 3,06/15/2025,-27,9,2,932,1,1Premier
15,healy,Season 1 - Event 3,06/15/2025,-23,10,1,892,1,1Premier
16,FLUID,Season 1 - Event 3,06/15/2025,-23,10,1,892,1,1Premier
9,Wakenbake,Season 1 - Event 3,06/15/2025,-23,10,1,892,1,1Premier
6,Dailafin,Season 1 - Event 3,06/15/2025,-14,13,0,802,1,1Premier
8,Quirkey,Season 1 - Event 3,06/15/2025,-8,14,0,742,1,1Premier
32,Nashty,Season 1 - Event 3,06/15/2025,-31,1,25,972,1,2Championship
30,MattyIce,Season 1 - Event 3,06/15/2025,-24,2,18,902,1,2Championship
17,Murfster,Season 1 - Event 3,06/15/2025,-24,2,18,902,1,2Championship
20,Exposed,Season 1 - Event 3,06/15/2025,-20,4,12,862,1,2Championship
23,micmac,Season 1 - Event 3,06/15/2025,-20,4,12,862,1,2Championship
10,Mighty,Season 1 - Event 3,06/15/2025,-20,4,12,862,1,2Championship
11,bigwhit,Season 1 - Event 3,06/15/2025,-18,7,6,842,1,2Championship
31,StonyQueso,Season 1 - Event 3,06/15/2025,-13,8,4,792,1,2Championship
12,jtobin,Season 1 - Event 3,06/15/2025,-11,9,2,772,1,2Championship
33,Bethany,Season 1 - Event 3,06/15/2025,-10,10,1,762,1,2Championship
34,KeeganP21,Season 1 - Event 3,06/15/2025,-33,1,25,992,1,3League One
2,Punchshot,Season 1 - Event 4,06/18/2025,-37,1,25,1030,1,1Premier
4,Pretty,Season 1 - Event 4,06/18/2025,-31,2,18,970,1,1Premier
3,Skoljets,Season 1 - Event 4,06/18/2025,-29,3,15,950,1,1Premier
22,OXI,Season 1 - Event 4,06/18/2025,-28,4,12,940,1,1Premier
14,FUT1235,Season 1 - Event 4,06/18/2025,-27,5,10,930,1,1Premier
25,Wheelman,Season 1 - Event 4,06/18/2025,-26,6,8,920,1,1Premier
15,healy,Season 1 - Event 4,06/18/2025,-26,6,8,920,1,1Premier
6,Dailafin,Season 1 - Event 4,06/18/2025,-26,6,8,920,1,1Premier
5,Big Mike,Season 1 - Event 4,06/18/2025,-23,9,2,890,1,1Premier
7,Orangeman,Season 1 - Event 4,06/18/2025,-16,10,1,820,1,1Premier
