player_id,team_id,team_name,event_1v1_opponent,team_opponent,event,season
54,4,Team Tyrantyla,53,3,Season 2 - Event 3,2
43,8,Team Bighen,57,7,Season 2 - Event 3,2
33,1,Team Bethany,51,2,Season 2 - Event 3,2
5,3,Team Big Mike,45,4,Season 2 - Event 3,2
35,8,Team Bighen,55,7,Season 2 - Event 3,2
39,1,Team Bethany,32,2,Season 2 - Event 3,2
11,4,Team Tyrantyla,17,3,Season 2 - Event 3,2
46,8,Team Bighen,50,7,Season 2 - Event 3,2
6,9,Team Dailafin,Avg,Society Avg,Season 2 - Event 3,2
51,2,Team Pretty,33,1,Season 2 - Event 3,2
57,7,Team WTC,43,8,Season 2 - Event 3,2
20,8,Team Bighen,56,7,Season 2 - Event 3,2
58,9,Team Dailafin,Avg,Society Avg,Season 2 - Event 3,2
16,5,Team FLUID,13,6,Season 2 - Event 3,2
14,5,Team FLUID,15,6,Season 2 - Event 3,2
53,3,Team Big Mike,54,4,Season 2 - Event 3,2
15,6,Fantastikk Four,14,5,Season 2 - Event 3,2
29,2,Team Pretty,7,1,Season 2 - Event 3,2
50,7,Team WTC,46,8,Season 2 - Event 3,2
48,4,Team Tyrantyla,52,3,Season 2 - Event 3,2
30,1,Team Bethany,4,2,Season 2 - Event 3,2
23,9,Team Dailafin,Avg,Society Avg,Season 2 - Event 3,2
10,5,Team FLUID,41,6,Season 2 - Event 3,2
17,3,Team Big Mike,11,4,Season 2 - Event 3,2
32,2,Team Pretty,39,1,Season 2 - Event 3,2
55,7,Team WTC,35,8,Season 2 - Event 3,2
7,1,Team Bethany,29,2,Season 2 - Event 3,2
22,9,Team Dailafin,Avg,Society Avg,Season 2 - Event 3,2
4,2,Team Pretty,30,1,Season 2 - Event 3,2
41,6,Fantastikk Four,10,5,Season 2 - Event 3,2
56,7,Team WTC,20,8,Season 2 - Event 3,2
3,6,Fantastikk Four,49,5,Season 2 - Event 3,2
49,5,Team FLUID,3,6,Season 2 - Event 3,2
13,6,Fantastikk Four,16,5,Season 2 - Event 3,2
45,4,Team Tyrantyla,5,3,Season 2 - Event 3,2
52,3,Team Big Mike,48,4,Season 2 - Event 3,2
54,4,Team Tyrantyla,Avg,Society Avg,Season 2 - Event 4,2
43,8,Team Bighen,33,1,Season 2 - Event 4,2
33,1,Team Bethany,43,8,Season 2 - Event 4,2
5,3,Team Big Mike,10,5,Season 2 - Event 4,2
35,8,Team Bighen,30,1,Season 2 - Event 4,2
39,1,Team Bethany,20,8,Season 2 - Event 4,2
11,4,Team Tyrantyla,Avg,Society Avg,Season 2 - Event 4,2
46,8,Team Bighen,7,1,Season 2 - Event 4,2
6,9,Team Dailafin,55,7,Season 2 - Event 4,2
51,2,Team Pretty,13,6,Season 2 - Event 4,2
57,7,Team WTC,22,9,Season 2 - Event 4,2
20,8,Team Bighen,39,1,Season 2 - Event 4,2
58,9,Team Dailafin,50,7,Season 2 - Event 4,2
16,5,Team FLUID,17,3,Season 2 - Event 4,2
14,5,Team FLUID,53,3,Season 2 - Event 4,2
53,3,Team Big Mike,14,5,Season 2 - Event 4,2
15,6,Fantastikk Four,32,2,Season 2 - Event 4,2
29,2,Team Pretty,41,6,Season 2 - Event 4,2
50,7,Team WTC,58,9,Season 2 - Event 4,2
48,4,Team Tyrantyla,Avg,Society Avg,Season 2 - Event 4,2
30,1,Team Bethany,35,8,Season 2 - Event 4,2
23,9,Team Dailafin,56,7,Season 2 - Event 4,2
10,5,Team FLUID,5,3,Season 2 - Event 4,2
17,3,Team Big Mike,16,5,Season 2 - Event 4,2
32,2,Team Pretty,15,6,Season 2 - Event 4,2
55,7,Team WTC,6,9,Season 2 - Event 4,2
7,1,Team Bethany,46,8,Season 2 - Event 4,2
22,9,Team Dailafin,57,7,Season 2 - Event 4,2
4,2,Team Pretty,3,6,Season 2 - Event 4,2
41,6,Fantastikk Four,29,2,Season 2 - Event 4,2
56,7,Team WTC,23,9,Season 2 - Event 4,2
3,6,Fantastikk Four,4,2,Season 2 - Event 4,2
49,5,Team FLUID,52,3,Season 2 - Event 4,2
13,6,Fantastikk Four,51,2,Season 2 - Event 4,2
45,4,Team Tyrantyla,Avg,Society Avg,Season 2 - Event 4,2
52,3,Team Big Mike,49,5,Season 2 - Event 4,2
54,4,Team Tyrantyla,3,6,Season 2 - Event 5,2
43,8,Team Bighen,17,3,Season 2 - Event 5,2
33,1,Team Bethany,55,7,Season 2 - Event 5,2
5,3,Team Big Mike,35,8,Season 2 - Event 5,2
35,8,Team Bighen,5,3,Season 2 - Event 5,2
39,1,Team Bethany,50,7,Season 2 - Event 5,2
11,4,Team Tyrantyla,13,6,Season 2 - Event 5,2
46,8,Team Bighen,52,3,Season 2 - Event 5,2
6,9,Team Dailafin,4,2,Season 2 - Event 5,2
51,2,Team Pretty,22,9,Season 2 - Event 5,2
57,7,Team WTC,7,1,Season 2 - Event 5,2
20,8,Team Bighen,53,3,Season 2 - Event 5,2
58,9,Team Dailafin,29,2,Season 2 - Event 5,2
16,5,Team FLUID,Avg,Society Avg,Season 2 - Event 5,2
14,5,Team FLUID,Avg,Society Avg,Season 2 - Event 5,2
53,3,Team Big Mike,20,8,Season 2 - Event 5,2
15,6,Fantastikk Four,45,4,Season 2 - Event 5,2
29,2,Team Pretty,58,9,Season 2 - Event 5,2
50,7,Team WTC,39,1,Season 2 - Event 5,2
48,4,Team Tyrantyla,41,6,Season 2 - Event 5,2
30,1,Team Bethany,56,7,Season 2 - Event 5,2
23,9,Team Dailafin,32,2,Season 2 - Event 5,2
10,5,Team FLUID,Avg,Society Avg,Season 2 - Event 5,2
17,3,Team Big Mike,43,8,Season 2 - Event 5,2
32,2,Team Pretty,23,9,Season 2 - Event 5,2
55,7,Team WTC,33,1,Season 2 - Event 5,2
7,1,Team Bethany,57,7,Season 2 - Event 5,2
22,9,Team Dailafin,51,2,Season 2 - Event 5,2
4,2,Team Pretty,6,9,Season 2 - Event 5,2
41,6,Fantastikk Four,48,4,Season 2 - Event 5,2
56,7,Team WTC,30,1,Season 2 - Event 5,2
3,6,Fantastikk Four,54,4,Season 2 - Event 5,2
49,5,Team FLUID,Avg,Society Avg,Season 2 - Event 5,2
13,6,Fantastikk Four,11,4,Season 2 - Event 5,2
45,4,Team Tyrantyla,15,6,Season 2 - Event 5,2
52,3,Team Big Mike,46,8,Season 2 - Event 5,2
54,4,Team Tyrantyla,35,8,Season 2 - Event 6,2
43,8,Team Bighen,11,4,Season 2 - Event 6,2
33,1,Team Bethany,49,5,Season 2 - Event 6,2
5,3,Team Big Mike,6,9,Season 2 - Event 6,2
35,8,Team Bighen,54,4,Season 2 - Event 6,2
39,1,Team Bethany,16,5,Season 2 - Event 6,2
11,4,Team Tyrantyla,43,8,Season 2 - Event 6,2
46,8,Team Bighen,45,4,Season 2 - Event 6,2
6,9,Team Dailafin,5,3,Season 2 - Event 6,2
51,2,Team Pretty,50,7,Season 2 - Event 6,2
57,7,Team WTC,32,2,Season 2 - Event 6,2
20,8,Team Bighen,48,4,Season 2 - Event 6,2
58,9,Team Dailafin,17,3,Season 2 - Event 6,2
16,5,Team FLUID,39,1,Season 2 - Event 6,2
14,5,Team FLUID,7,1,Season 2 - Event 6,2
53,3,Team Big Mike,61,9,Season 2 - Event 6,2
15,6,Fantastikk Four,Avg,Society Avg,Season 2 - Event 6,2
29,2,Team Pretty,55,7,Season 2 - Event 6,2
50,7,Team WTC,51,2,Season 2 - Event 6,2
48,4,Team Tyrantyla,20,8,Season 2 - Event 6,2
